_time;_value;_field;_time;_value;_field
2022-03-03T18:51:59.4Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:44.3Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:01.9Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:44.5Z;0.44;Accelerazione_Media_SX
2022-03-03T18:52:02.1Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:44.7Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:02.3Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:44.9Z;0.47;Accelerazione_Media_SX
2022-03-03T18:52:02.5Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:46.2Z;0.47;Accelerazione_Media_SX
2022-03-03T18:52:02.8Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:46.4Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:03Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:46.7Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:03.3Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:46.9Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:03.5Z;1.19;Accelerazione_Media_DX;2022-03-03T18:52:50Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:03.8Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:50.6Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:04Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:50.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:04.3Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:51Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:04.5Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:51.3Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:04.8Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:51.5Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:05Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:51.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:05.2Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:52.1Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:05.5Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:52.4Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:05.7Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:52.6Z;0.47;Accelerazione_Media_SX
2022-03-03T18:52:05.9Z;1.15;Accelerazione_Media_DX;2022-03-03T18:52:52.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:06.2Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:53.1Z;0.47;Accelerazione_Media_SX
2022-03-03T18:52:06.4Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:53.3Z;0.47;Accelerazione_Media_SX
2022-03-03T18:52:09.3Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:53.5Z;0.44;Accelerazione_Media_SX
2022-03-03T18:52:09.5Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:53.7Z;0.47;Accelerazione_Media_SX
2022-03-03T18:52:09.8Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:56.8Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:10Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:57.1Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:10.2Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:57.3Z;0.44;Accelerazione_Media_SX
2022-03-03T18:52:13.4Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:57.5Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:16.4Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:57.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:16.7Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:58Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:16.9Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:58.3Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:17.2Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:58.5Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:17.4Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:59.1Z;0.47;Accelerazione_Media_SX
2022-03-03T18:52:17.6Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:59.3Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:17.9Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:59.6Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:18.1Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:59.8Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:21.3Z;1.18;Accelerazione_Media_DX;2022-03-03T18:53:00.1Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:23.7Z;1.17;Accelerazione_Media_DX;2022-03-03T18:53:00.3Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:26.9Z;1.17;Accelerazione_Media_DX;2022-03-03T18:53:00.6Z;0.47;Accelerazione_Media_SX
2022-03-03T18:52:27.2Z;1.17;Accelerazione_Media_DX;2022-03-03T18:53:00.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:27.4Z;1.17;Accelerazione_Media_DX;2022-03-03T18:53:01Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:27.7Z;1.18;Accelerazione_Media_DX;2022-03-03T18:53:01.3Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:27.9Z;1.18;Accelerazione_Media_DX;2022-03-03T18:53:01.6Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:28.1Z;1.17;Accelerazione_Media_DX;2022-03-03T18:53:01.8Z;0.44;Accelerazione_Media_SX
2022-03-03T18:52:28.3Z;1.18;Accelerazione_Media_DX;2022-03-03T18:53:03.1Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:28.6Z;1.15;Accelerazione_Media_DX;2022-03-03T18:53:06.3Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:29.1Z;1.16;Accelerazione_Media_DX;2022-03-03T18:53:06.7Z;0.43;Accelerazione_Media_SX
2022-03-03T18:52:29.3Z;1.17;Accelerazione_Media_DX;2022-03-03T18:53:06.9Z;0.44;Accelerazione_Media_SX
2022-03-03T18:52:29.7Z;1.16;Accelerazione_Media_DX;2022-03-03T18:53:07.1Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:29.9Z;1.17;Accelerazione_Media_DX;2022-03-03T18:53:07.3Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:30.2Z;1.16;Accelerazione_Media_DX;2022-03-03T18:53:07.6Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:35.8Z;1.16;Accelerazione_Media_DX;2022-03-03T18:53:07.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:36Z;1.19;Accelerazione_Media_DX;2022-03-03T18:53:08Z;0.47;Accelerazione_Media_SX
2022-03-03T18:52:36.3Z;1.19;Accelerazione_Media_DX;2022-03-03T18:53:08.3Z;0.45;Accelerazione_Media_SX
2022-03-03T18:52:36.5Z;1.16;Accelerazione_Media_DX;2022-03-03T18:53:08.5Z;0.46;Accelerazione_Media_SX
2022-03-03T18:52:36.8Z;1.16;Accelerazione_Media_DX;2022-03-03T18:53:08.8Z;0.46;Accelerazione_Media_SX
