_time;_value;host;_time;_value;host
2022-02-21T18:04:26.1Z;2,03;Accelerometro_DX;2022-02-21T18:03:37.5Z;3,17;Accelerometro_SX
2022-02-21T18:04:26.5Z;2,03;Accelerometro_DX;2022-02-21T18:03:38Z;3,17;Accelerometro_SX
2022-02-21T18:04:26.9Z;2,03;Accelerometro_DX;2022-02-21T18:03:38.4Z;3,17;Accelerometro_SX
2022-02-21T18:04:27.4Z;2,03;Accelerometro_DX;2022-02-21T18:03:38.9Z;3,17;Accelerometro_SX
2022-02-21T18:04:27.8Z;2,03;Accelerometro_DX;2022-02-21T18:03:39.3Z;3,18;Accelerometro_SX
2022-02-21T18:04:28.2Z;2,03;Accelerometro_DX;2022-02-21T18:03:39.7Z;3,18;Accelerometro_SX
2022-02-21T18:04:28.6Z;2,03;Accelerometro_DX;2022-02-21T18:03:40.1Z;3,18;Accelerometro_SX
2022-02-21T18:04:29Z;2,02;Accelerometro_DX;2022-02-21T18:03:40.5Z;3,18;Accelerometro_SX
2022-02-21T18:04:29.5Z;2,03;Accelerometro_DX;2022-02-21T18:03:41Z;3,18;Accelerometro_SX
2022-02-21T18:04:29.9Z;2,03;Accelerometro_DX;2022-02-21T18:03:41.4Z;3,18;Accelerometro_SX
2022-02-21T18:04:30.3Z;2,03;Accelerometro_DX;2022-02-21T18:03:44.7Z;3,18;Accelerometro_SX
2022-02-21T18:04:31Z;2,03;Accelerometro_DX;2022-02-21T18:03:45.1Z;3,19;Accelerometro_SX
2022-02-21T18:04:31.4Z;2,03;Accelerometro_DX;2022-02-21T18:03:48.4Z;3,19;Accelerometro_SX
2022-02-21T18:04:31.8Z;2,02;Accelerometro_DX;2022-02-21T18:03:48.8Z;3,21;Accelerometro_SX
2022-02-21T18:04:35.1Z;2,03;Accelerometro_DX;2022-02-21T18:03:49.3Z;3,21;Accelerometro_SX
2022-02-21T18:04:35.5Z;2,03;Accelerometro_DX;2022-02-21T18:03:49.7Z;3,2;Accelerometro_SX
2022-02-21T18:04:35.9Z;2,03;Accelerometro_DX;2022-02-21T18:03:50.2Z;3,21;Accelerometro_SX
2022-02-21T18:04:36.3Z;2,03;Accelerometro_DX;2022-02-21T18:03:50.6Z;3,21;Accelerometro_SX
2022-02-21T18:04:37.1Z;2,03;Accelerometro_DX;2022-02-21T18:03:51Z;3,21;Accelerometro_SX
2022-02-21T18:04:40.6Z;2,03;Accelerometro_DX;2022-02-21T18:03:51.4Z;3,21;Accelerometro_SX
2022-02-21T18:04:41Z;2,02;Accelerometro_DX;2022-02-21T18:03:51.9Z;3,21;Accelerometro_SX
2022-02-21T18:04:41.4Z;2,02;Accelerometro_DX;2022-02-21T18:03:52.3Z;3,21;Accelerometro_SX
2022-02-21T18:04:41.9Z;2,02;Accelerometro_DX;2022-02-21T18:03:52.7Z;3,22;Accelerometro_SX
2022-02-21T18:04:42.7Z;2,02;Accelerometro_DX;2022-02-21T18:03:53.1Z;3,22;Accelerometro_SX
2022-02-21T18:04:43.1Z;2,02;Accelerometro_DX;2022-02-21T18:03:53.6Z;3,22;Accelerometro_SX
2022-02-21T18:04:43.5Z;2,03;Accelerometro_DX;2022-02-21T18:03:54Z;3,22;Accelerometro_SX
2022-02-21T18:04:44Z;2,03;Accelerometro_DX;2022-02-21T18:03:54.5Z;3,22;Accelerometro_SX
2022-02-21T18:04:44.4Z;2,02;Accelerometro_DX;2022-02-21T18:03:54.9Z;3,22;Accelerometro_SX
2022-02-21T18:04:47.6Z;2,02;Accelerometro_DX;2022-02-21T18:03:55.3Z;3,22;Accelerometro_SX
2022-02-21T18:04:48Z;2,03;Accelerometro_DX;2022-02-21T18:03:55.8Z;3,22;Accelerometro_SX
2022-02-21T18:04:48.8Z;2,03;Accelerometro_DX;2022-02-21T18:03:56.2Z;3,22;Accelerometro_SX
2022-02-21T18:04:52.1Z;2,02;Accelerometro_DX;2022-02-21T18:03:59.2Z;3,22;Accelerometro_SX
