_time;_value;_field;_time;_value;_field;;_time;_value;_field;_time;_value;_field
2022-05-09T16:51:42.1Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:41.6Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:39.5Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:43.3Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:42.7Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:40.5Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:43.9Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.29;Accelerazione_Max_SX;;2022-05-09T16:51:43.6Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:41.9Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:44.9Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:44.5Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:42.6Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:45.5Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:45.2Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:43.6Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:46.2Z;10.94;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.29;Accelerazione_Max_SX;;2022-05-09T16:51:46Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:44.7Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:46.9Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:46.5Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:45.5Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:47.9Z;10.9;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.35;Accelerazione_Max_SX;;2022-05-09T16:51:47.4Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:46.3Z;10.06;Accelerazione_Media_SX
2022-05-09T16:51:48.7Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.31;Accelerazione_Max_SX;;2022-05-09T16:51:48.3Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:47.2Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:49.2Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.34;Accelerazione_Max_SX;;2022-05-09T16:51:49Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:48.1Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:49.6Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:49.4Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:48.9Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:50.2Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:49.9Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:49.8Z;10.24;Accelerazione_Media_SX
